,GRADE
1092,A
1093,B
1094,A
1095,A
1096,A
1097,A
1098,B
1099,A
1100,A
1101,A
1102,A
1103,A
1104,A
1105,A
1106,A
1107,A
1108,A
1109,A
1110,B
1111,A
1112,A
1113,A
1114,C
1115,B
1116,A
1117,A
1118,B
1119,B
1120,A
1121,A
1122,A
1123,A
1124,A
1125,A
1126,A
1127,B
1128,C
1129,B
1130,A
1131,A
1132,A
1133,C
1134,A
1135,A
1136,C
1137,C
1138,C
1139,A
1140,B
1141,A
1142,A
1143,A
1144,C
1145,B
1146,A
1147,A
1148,B
1149,C
1150,A
1151,B
1152,A
1153,B
1154,A
1155,A
1156,B
1157,B
1158,A
1159,B
1160,A
1161,A
1162,A
1163,A
1164,B
1165,A
1166,A
1167,A
1168,A
1169,B
1170,A
1171,A
1172,C
1173,B
1174,B
1175,A
1176,A
1177,A
1178,A
1179,A
1180,A
1181,A
1182,A
1183,B
1184,A
1185,A
1186,B
1187,B
1188,A
1189,A
1190,B
1191,A
1192,B
1193,A
1194,A
1195,A
1196,B
1197,A
1198,A
1199,A
1200,C
1201,A
1202,A
1203,A
1204,B
1205,A
1206,C
1207,B
1208,A
1209,A
1210,A
1211,A
1212,B
1213,B
1214,B
1215,A
1216,A
1217,B
1218,A
1219,A
1220,B
1221,A
1222,A
1223,A
1224,C
1225,A
1226,A
1227,A
1228,A
1229,A
1230,A
1231,A
1232,B
1233,A
1234,A
1235,A
1236,A
1237,A
1238,A
1239,A
1240,A
1241,A
1242,A
1243,A
1244,B
1245,A
1246,A
1247,A
1248,A
1249,A
1250,A
1251,A
1252,B
1253,A
1254,B
1255,A
1256,A
1257,A
1258,B
1259,A
1260,A
1261,A
1262,C
1263,C
1264,A
1265,B
1266,A
1267,C
1268,A
1269,A
1270,B
1271,A
1272,A
1273,A
1274,C
1275,A
1276,A
1277,C
1278,A
1279,B
1280,A
1281,A
1282,A
1283,C
1284,A
1285,A
1286,A
1287,A
1288,A
1289,C
1290,A
1291,A
1292,C
1293,A
1294,A
1295,A
1296,A
1297,A
1298,C
1299,A
1300,C
1301,A
1302,A
1303,A
1304,A
1305,A
1306,A
1307,B
1308,B
1309,A
1310,B
1311,C
1312,A
1313,A
1314,A
1315,B
1316,B
1317,B
1318,A
1319,B
1320,A
1321,A
1322,A
1323,A
1324,A
1325,A
1326,A
1327,C
1328,A
1329,C
1330,A
1331,A
1332,A
1333,A
1334,A
1335,B
1336,A
1337,A
1338,A
1339,B
1340,B
1341,A
1342,A
1343,C
1344,A
1345,A
1346,A
1347,A
1348,A
1349,B
1350,A
1351,A
1352,B
1353,B
1354,B
1355,A
1356,A
1357,C
1358,B
1359,A
1360,C
1361,A
1362,A
1363,A
1364,A
1365,A
1366,B
1367,A
1368,A
1369,C
1370,A
1371,A
1372,B
1373,A
1374,A
1375,A
1376,A
1377,C
1378,A
1379,A
1380,A
1381,A
1382,A
1383,B
1384,A
1385,A
1386,A
1387,A
1388,A
1389,A
1390,C
1391,B
1392,A
1393,A
1394,A
1395,A
1396,B
1397,A
1398,A
1399,A
1400,B
1401,B
1402,A
1403,B
1404,A
1405,A
1406,A
1407,C
1408,A
1409,B
1410,A
1411,A
1412,B
1413,A
1414,A
1415,B
1416,C
1417,A
1418,B
1419,A
1420,A
1421,A
1422,B
1423,A
1424,A
1425,A
1426,A
1427,A
1428,A
1429,A
1430,C
1431,A
1432,A
1433,A
1434,B
1435,B
1436,A
1437,A
1438,A
1439,B
1440,A
1441,B
1442,B
1443,C
1444,A
1445,A
1446,A
1447,C
1448,A
1449,A
1450,A
1451,A
1452,A
1453,A
1454,C
1455,B
1456,A
1457,A
1458,A
1459,A
1460,A
1461,C
1462,A
1463,A
1464,A
1465,A
1466,A
1467,B
1468,B
1469,A
1470,B
1471,C
1472,A
1473,B
1474,A
1475,A
1476,A
1477,A
1478,A
1479,A
1480,B
1481,A
1482,A
1483,A
1484,A
1485,A
1486,A
1487,B
1488,A
1489,B
1490,B
1491,B
1492,A
1493,A
1494,C
1495,A
1496,A
1497,A
1498,A
1499,A
1500,A
1501,A
1502,A
1503,A
1504,A
1505,A
1506,B
1507,B
1508,A
